Area,Age group,Sex,Year,Value,Flags
"Canterbury Region","17 years","Male","2013",3837,
"Canterbury Region","17 years","Female","2013",3567,
"Canterbury Region","18 years","Male","2013",3984,
"Canterbury Region","18 years","Female","2013",3195,
"Canterbury Region","19 years","Male","2013",3870,
"Canterbury Region","19 years","Female","2013",3285,
"Canterbury Region","20 years","Male","2013",4080,
"Canterbury Region","20 years","Female","2013",3489,
"Canterbury Region","10 years","Male","2013",3258,
"Canterbury Region","10 years","Female","2013",3192,
"Canterbury Region","11 years","Male","2013",3360,
"Canterbury Region","11 years","Female","2013",3288,
"Canterbury Region","12 years","Male","2013",3474,
"Canterbury Region","12 years","Female","2013",3429,
"Canterbury Region","13 years","Male","2013",3624,
"Canterbury Region","13 years","Female","2013",3396,
"Canterbury Region","14 years","Male","2013",3504,
"Canterbury Region","14 years","Female","2013",3330,
"Canterbury Region","15 years","Male","2013",3594,
"Canterbury Region","15 years","Female","2013",3444,
"Canterbury Region","16 years","Male","2013",3690,
"Canterbury Region","16 years","Female","2013",3504,
"Canterbury Region","21 years","Male","2013",4149,
"Canterbury Region","21 years","Female","2013",3627,
"Canterbury Region","22 years","Male","2013",3993,
"Canterbury Region","22 years","Female","2013",3558,
"Canterbury Region","23 years","Male","2013",3789,
"Canterbury Region","23 years","Female","2013",3435,
"Canterbury Region","24 years","Male","2013",3534,
"Canterbury Region","24 years","Female","2013",3255,
