Area,Family type with type of couple,Value,Flags
"Timaru District","Total families",12639,
"Timaru District","Opposite-sex couple without children",6393,
"Timaru District","Male couple without children",12,
"Timaru District","Female couple without children",21,
"Timaru District","Total couple without children",6426,
"Timaru District","Opposite-sex couple with child(ren)",4482,
"Timaru District","Male couple with child(ren)",3,
"Timaru District","Female couple with child(ren)",3,
"Timaru District","Total couple with children",4488,
"Timaru District","One parent family",1725,
