Area,Household composition,Number of dependent children in household,Value,Flags
Timaru District,Total households,Total households,18351,
Timaru District,Total households,No dependent children,13353,
Timaru District,Total households,One dependent child,1953,
Timaru District,Total households,Two dependent children,1956,
Timaru District,Total households,Three dependent children,741,
Timaru District,Total households,Four or more dependent children,252,
Timaru District,Total households,Number of dependent children unknown,96,
Timaru District,Couple only,Total households,5991,
Timaru District,Couple only,No dependent children,5991,
Timaru District,Couple only,One dependent child,0,
Timaru District,Couple only,Two dependent children,0,
Timaru District,Couple only,Three dependent children,0,
Timaru District,Couple only,Four or more dependent children,0,
Timaru District,Couple only,Number of dependent children unknown,0,
Timaru District,Couple only and other person(s),Total households,231,
Timaru District,Couple only and other person(s),No dependent children,231,
Timaru District,Couple only and other person(s),One dependent child,0,
Timaru District,Couple only and other person(s),Two dependent children,0,
Timaru District,Couple only and other person(s),Three dependent children,0,
Timaru District,Couple only and other person(s),Four or more dependent children,0,
Timaru District,Couple only and other person(s),Number of dependent children unknown,0,
Timaru District,Couple with child(ren),Total households,4218,
Timaru District,Couple with child(ren),No dependent children,666,
Timaru District,Couple with child(ren),One dependent child,1218,
Timaru District,Couple with child(ren),Two dependent children,1491,
Timaru District,Couple with child(ren),Three dependent children,600,
Timaru District,Couple with child(ren),Four or more dependent children,192,
Timaru District,Couple with child(ren),Number of dependent children unknown,54,
Timaru District,Couple with child(ren) and other person(s),Total households,174,
Timaru District,Couple with child(ren) and other person(s),No dependent children,21,
Timaru District,Couple with child(ren) and other person(s),One dependent child,72,
Timaru District,Couple with child(ren) and other person(s),Two dependent children,51,
Timaru District,Couple with child(ren) and other person(s),Three dependent children,21,
Timaru District,Couple with child(ren) and other person(s),Four or more dependent children,6,
Timaru District,Couple with child(ren) and other person(s),Number of dependent children unknown,3,
Timaru District,One parent with child(ren),Total households,1356,
Timaru District,One parent with child(ren),No dependent children,405,
Timaru District,One parent with child(ren),One dependent child,492,
Timaru District,One parent with child(ren),Two dependent children,312,
Timaru District,One parent with child(ren),Three dependent children,78,
Timaru District,One parent with child(ren),Four or more dependent children,36,
Timaru District,One parent with child(ren),Number of dependent children unknown,33,
Timaru District,One parent with child(ren) and other person(s),Total households,219,
Timaru District,One parent with child(ren) and other person(s),No dependent children,42,
Timaru District,One parent with child(ren) and other person(s),One dependent child,96,
Timaru District,One parent with child(ren) and other person(s),Two dependent children,54,
Timaru District,One parent with child(ren) and other person(s),Three dependent children,18,
Timaru District,One parent with child(ren) and other person(s),Four or more dependent children,6,
Timaru District,One parent with child(ren) and other person(s),Number of dependent children unknown,3,
Timaru District,One-family household nfd,Total households,0,
Timaru District,One-family household nfd,No dependent children,0,
Timaru District,One-family household nfd,One dependent child,0,
Timaru District,One-family household nfd,Two dependent children,0,
Timaru District,One-family household nfd,Three dependent children,0,
Timaru District,One-family household nfd,Four or more dependent children,0,
Timaru District,One-family household nfd,Number of dependent children unknown,0,
Timaru District,Total one-family household,Total households,12192,
Timaru District,Total one-family household,No dependent children,7353,
Timaru District,Total one-family household,One dependent child,1878,
Timaru District,Total one-family household,Two dependent children,1911,
Timaru District,Total one-family household,Three dependent children,720,
Timaru District,Total one-family household,Four or more dependent children,240,
Timaru District,Total one-family household,Number of dependent children unknown,93,
Timaru District,Two 2-parent families,Total households,6,
Timaru District,Two 2-parent families,No dependent children,0,
Timaru District,Two 2-parent families,One dependent child,3,
Timaru District,Two 2-parent families,Two dependent children,3,
Timaru District,Two 2-parent families,Three dependent children,0,
Timaru District,Two 2-parent families,Four or more dependent children,0,
Timaru District,Two 2-parent families,Number of dependent children unknown,0,
Timaru District,One 2-parent family and a 1-parent family,Total households,33,
Timaru District,One 2-parent family and a 1-parent family,No dependent children,0,
Timaru District,One 2-parent family and a 1-parent family,One dependent child,9,
Timaru District,One 2-parent family and a 1-parent family,Two dependent children,6,
Timaru District,One 2-parent family and a 1-parent family,Three dependent children,9,
Timaru District,One 2-parent family and a 1-parent family,Four or more dependent children,6,
Timaru District,One 2-parent family and a 1-parent family,Number of dependent children unknown,0,
Timaru District,Two 1-parent families,Total households,27,
Timaru District,Two 1-parent families,No dependent children,0,
Timaru District,Two 1-parent families,One dependent child,6,
Timaru District,Two 1-parent families,Two dependent children,12,
Timaru District,Two 1-parent families,Three dependent children,6,
Timaru District,Two 1-parent families,Four or more dependent children,3,
Timaru District,Two 1-parent families,Number of dependent children unknown,0,
Timaru District,Other 2-family household,Total households,150,
Timaru District,Other 2-family household,No dependent children,57,
Timaru District,Other 2-family household,One dependent child,54,
Timaru District,Other 2-family household,Two dependent children,30,
Timaru District,Other 2-family household,Three dependent children,9,
Timaru District,Other 2-family household,Four or more dependent children,3,
Timaru District,Other 2-family household,Number of dependent children unknown,3,
Timaru District,Two-family household nfd,Total households,0,
Timaru District,Two-family household nfd,No dependent children,0,
Timaru District,Two-family household nfd,One dependent child,0,
Timaru District,Two-family household nfd,Two dependent children,0,
Timaru District,Two-family household nfd,Three dependent children,0,
Timaru District,Two-family household nfd,Four or more dependent children,0,
Timaru District,Two-family household nfd,Number of dependent children unknown,0,
Timaru District,Total two-family household,Total households,216,
Timaru District,Total two-family household,No dependent children,57,
Timaru District,Total two-family household,One dependent child,72,
Timaru District,Total two-family household,Two dependent children,48,
Timaru District,Total two-family household,Three dependent children,24,
Timaru District,Total two-family household,Four or more dependent children,9,
Timaru District,Total two-family household,Number of dependent children unknown,3,
Timaru District,Three or more family household (with or without other people),Total households,6,
Timaru District,Three or more family household (with or without other people),No dependent children,0,
Timaru District,Three or more family household (with or without other people),One dependent child,3,
Timaru District,Three or more family household (with or without other people),Two dependent children,0,
Timaru District,Three or more family household (with or without other people),Three dependent children,0,
Timaru District,Three or more family household (with or without other people),Four or more dependent children,3,
Timaru District,Three or more family household (with or without other people),Number of dependent children unknown,0,
Timaru District,Household of related people,Total households,102,
Timaru District,Household of related people,No dependent children,99,
Timaru District,Household of related people,One dependent child,0,
Timaru District,Household of related people,Two dependent children,0,
Timaru District,Household of related people,Three dependent children,0,
Timaru District,Household of related people,Four or more dependent children,0,
Timaru District,Household of related people,Number of dependent children unknown,0,
Timaru District,Household of related and unrelated people,Total households,9,
Timaru District,Household of related and unrelated people,No dependent children,9,
Timaru District,Household of related and unrelated people,One dependent child,0,
Timaru District,Household of related and unrelated people,Two dependent children,0,
Timaru District,Household of related and unrelated people,Three dependent children,0,
Timaru District,Household of related and unrelated people,Four or more dependent children,0,
Timaru District,Household of related and unrelated people,Number of dependent children unknown,0,
Timaru District,Household of unrelated people,Total households,444,
Timaru District,Household of unrelated people,No dependent children,444,
Timaru District,Household of unrelated people,One dependent child,0,
Timaru District,Household of unrelated people,Two dependent children,0,
Timaru District,Household of unrelated people,Three dependent children,0,
Timaru District,Household of unrelated people,Four or more dependent children,0,
Timaru District,Household of unrelated people,Number of dependent children unknown,0,
