Area,Year,Number of children in family,Number of dependent children in family,Value,Flags
"Timaru District","2013","Total couples with children","Total couples with children",4491,
"Timaru District","2013","Total couples with children","No dependent children",711,
"Timaru District","2013","Total couples with children","One dependent child",1329,
"Timaru District","2013","Total couples with children","Two dependent children",1566,
"Timaru District","2013","Total couples with children","Three dependent children",627,
"Timaru District","2013","Total couples with children","Four or more dependent children",201,
"Timaru District","2013","Total couples with children","Number of dependent children unknown",57,
"Timaru District","2013","One child","Total couples with children",1746,
"Timaru District","2013","One child","No dependent children",603,
"Timaru District","2013","One child","One dependent child",1119,
"Timaru District","2013","One child","Two dependent children",0,
"Timaru District","2013","One child","Three dependent children",0,
"Timaru District","2013","One child","Four or more dependent children",0,
"Timaru District","2013","One child","Number of dependent children unknown",21,
"Timaru District","2013","Two children","Total couples with children",1782,
"Timaru District","2013","Two children","No dependent children",99,
"Timaru District","2013","Two children","One dependent child",177,
"Timaru District","2013","Two children","Two dependent children",1491,
"Timaru District","2013","Two children","Three dependent children",0,
"Timaru District","2013","Two children","Four or more dependent children",0,
"Timaru District","2013","Two children","Number of dependent children unknown",15,
"Timaru District","2013","Three children","Total couples with children",711,
"Timaru District","2013","Three children","No dependent children",6,
"Timaru District","2013","Three children","One dependent child",27,
"Timaru District","2013","Three children","Two dependent children",63,
"Timaru District","2013","Three children","Three dependent children",603,
"Timaru District","2013","Three children","Four or more dependent children",0,
"Timaru District","2013","Three children","Number of dependent children unknown",15,
"Timaru District","2013","Four or more children","Total couples with children",252,
"Timaru District","2013","Four or more children","No dependent children",3,
"Timaru District","2013","Four or more children","One dependent child",0,
"Timaru District","2013","Four or more children","Two dependent children",12,
"Timaru District","2013","Four or more children","Three dependent children",24,
"Timaru District","2013","Four or more children","Four or more dependent children",201,
"Timaru District","2013","Four or more children","Number of dependent children unknown",9,
