Year,Area,Number of children in family,Number of dependent children in family,Value,Flags
"2013","Timaru District","Total one parent families","Total one parent families",1728,
"2013","Timaru District","Total one parent families","No dependent children",462,
"2013","Timaru District","Total one parent families","One dependent child",678,
"2013","Timaru District","Total one parent families","Two dependent children",399,
"2013","Timaru District","Total one parent families","Three dependent children",105,
"2013","Timaru District","Total one parent families","Four or more dependent children",45,
"2013","Timaru District","Total one parent families","Number of dependent children unknown",39,
"2013","Timaru District","One child","Total one parent families",1035,
"2013","Timaru District","One child","No dependent children",429,
"2013","Timaru District","One child","One dependent child",588,
"2013","Timaru District","One child","Two dependent children",0,
"2013","Timaru District","One child","Three dependent children",0,
"2013","Timaru District","One child","Four or more dependent children",0,
"2013","Timaru District","One child","Number of dependent children unknown",15,
"2013","Timaru District","Two children","Total one parent families",504,
"2013","Timaru District","Two children","No dependent children",30,
"2013","Timaru District","Two children","One dependent child",78,
"2013","Timaru District","Two children","Two dependent children",381,
"2013","Timaru District","Two children","Three dependent children",0,
"2013","Timaru District","Two children","Four or more dependent children",0,
"2013","Timaru District","Two children","Number of dependent children unknown",15,
"2013","Timaru District","Three children","Total one parent families",135,
"2013","Timaru District","Three children","No dependent children",0,
"2013","Timaru District","Three children","One dependent child",12,
"2013","Timaru District","Three children","Two dependent children",21,
"2013","Timaru District","Three children","Three dependent children",99,
"2013","Timaru District","Three children","Four or more dependent children",0,
"2013","Timaru District","Three children","Number of dependent children unknown",3,
"2013","Timaru District","Four or more children","Total one parent families",51,
"2013","Timaru District","Four or more children","No dependent children",0,
"2013","Timaru District","Four or more children","One dependent child",0,
"2013","Timaru District","Four or more children","Two dependent children",0,
"2013","Timaru District","Four or more children","Three dependent children",6,
"2013","Timaru District","Four or more children","Four or more dependent children",42,
"2013","Timaru District","Four or more children","Number of dependent children unknown",0,
