Year,Sex,Area,Age group,Value,Flags
"2013","Total people, sex","Timaru District","15 years",597,
"2013","Total people, sex","Timaru District","16 years",633,
"2013","Total people, sex","Timaru District","17 years",645,
"2013","Total people, sex","Timaru District","18 years",438,
"2013","Total people, sex","Timaru District","19 years",393,
"2013","Total people, sex","Timaru District","20 years",450,
"2013","Total people, sex","Timaru District","21 years",381,
"2013","Total people, sex","Timaru District","22 years",462,
"2013","Total people, sex","Timaru District","23 years",435,
"2013","Total people, sex","Timaru District","24 years",423,
