Year,Area,Age,Sex,Value,Flags
"2013","Timaru District","Total people, age group","Total people, sex",44547,
"2013","Winchester","Total people, age group","Total people, sex",276,
"2013","Fairview-Scarborough","Total people, age group","Total people, sex",567,
"2013","Otipua Creek-Washdyke Flat","Total people, age group","Total people, sex",645,
"2013","Ben Mcleod","Total people, age group","Total people, sex",135,
"2013","Orari","Total people, age group","Total people, sex",4800,
"2013","Levels","Total people, age group","Total people, sex",3741,
"2013","Pareora","Total people, age group","Total people, sex",426,
"2013","Pleasant Point","Total people, age group","Total people, sex",1269,
"2013","Geraldine","Total people, age group","Total people, sex",2418,
"2013","Temuka","Total people, age group","Total people, sex",4032,
"2013","Washdyke","Total people, age group","Total people, sex",873,
"2013","Waimataitai","Total people, age group","Total people, sex",1218,
"2013","Marchwiel","Total people, age group","Total people, sex",3786,
"2013","Maori Park","Total people, age group","Total people, sex",1119,
"2013","Highfield","Total people, age group","Total people, sex",3360,
"2013","Glenwood","Total people, age group","Total people, sex",1713,
"2013","Gleniti","Total people, age group","Total people, sex",2331,
"2013","Fraser Park","Total people, age group","Total people, sex",2871,
"2013","Seaview","Total people, age group","Total people, sex",2502,
"2013","Watlington","Total people, age group","Total people, sex",2274,
"2013","Parkside","Total people, age group","Total people, sex",2505,
"2013","Timaru Gardens","Total people, age group","Total people, sex",1566,
"2013","Redruth","Total people, age group","Total people, sex",63,
"2013","Inlet-Port Timaru","Total people, age group","Total people, sex",51,
